surface,molecule,functional,mode,E_ads,E_ads_ML,delta,provenance,complex_directory
Ag100,H2S,pbe,SPE,-0.786,-0.44,+0.346,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2S/singlepoint/PBE
Ag100,H2S,pbe_d3,relaxed,-1.173,-0.44,+0.736,Screened Perlmutter result: H2S_Ag100,
Ag100,H2S,pbe_d3,SPE,-1.002,-0.44,+0.562,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2S/singlepoint/PBE_D3
Ag100,H2S,r2scan,relaxed,—,-0.44,—,No previously published energy; current audit: Not converged. H2S_Ag100: See component convergence statuses; complex: unfinished; slab: converged; molecule: converged,
Ag100,H2S,r2scan,SPE,-1.251,-0.44,+0.811,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2S/singlepoint/r2scan
Ag100,H2S,beef_vdw,relaxed,-25.184,-0.44,+24.747,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. H2S_Ag100,
Ag100,H2S,beef_vdw,SPE,queued,-0.44,—,,
Ag100,N2,pbe,relaxed,-0.64,-0.05,+0.59,Previously published energy retained; current audit: Not converged. N2_Ag100: complex: ZBRENT: fatal error in bracketing; complex: unfinished; slab: converged; molecule: converged,
Ag100,N2,pbe,SPE,-0.630,-0.05,+0.580,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_N2/singlepoint/PBE
Ag100,N2,pbe_d3,relaxed,-0.71,-0.05,+0.66,Previously published energy retained; current audit: Not converged. N2_Ag100: complex: ZBRENT: fatal error in bracketing; complex: unfinished; slab: converged; molecule: converged,
Ag100,N2,pbe_d3,SPE,-0.624,-0.05,+0.574,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_N2/singlepoint/PBE_D3
Ag100,N2,r2scan,relaxed,-1.113,-0.05,+1.062,Screened Perlmutter result: N2_Ag100,
Ag100,N2,r2scan,SPE,-1.020,-0.05,+0.970,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_N2/singlepoint/r2scan
Ag100,N2,beef_vdw,relaxed,—,-0.05,—,No previously published energy; current audit: Not converged. N2_Ag100: complex: ZBRENT: fatal error in bracketing; complex: unfinished; slab: converged; molecule: converged,
Ag100,N2,beef_vdw,SPE,queued,-0.05,—,,
Ag100,NH3,pbe,relaxed,-1.05,-0.73,+0.32,Previously published energy retained; current audit: Not converged. NH3_Ag100: complex: ZBRENT: fatal error in bracketing; complex: unfinished; slab: converged; molecule: converged,
Ag100,NH3,pbe,SPE,-1.036,-0.73,+0.306,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NH3/singlepoint/PBE
Ag100,NH3,pbe_d3,relaxed,-1.275,-0.73,+0.548,Screened Perlmutter result: NH3_Ag100,
Ag100,NH3,pbe_d3,SPE,-1.158,-0.73,+0.428,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NH3/singlepoint/PBE_D3
Ag100,NH3,r2scan,relaxed,-1.610,-0.73,+0.883,Screened Perlmutter result: NH3_Ag100,
Ag100,NH3,r2scan,SPE,-1.504,-0.73,+0.774,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NH3/singlepoint/r2scan
Ag100,NH3,beef_vdw,relaxed,-25.354,-0.73,+24.627,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. NH3_Ag100,
Ag100,NH3,beef_vdw,SPE,queued,-0.73,—,,
Ag100,NO,pbe,relaxed,-1.59,-0.67,+0.92,Previously published energy retained; current audit: Not converged. NO_Ag100: complex: ZBRENT: fatal error in bracketing; complex: unfinished; slab: converged; molecule: converged,
Ag100,NO,pbe,SPE,-1.522,-0.67,+0.852,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NO/singlepoint/PBE
Ag100,NO,pbe_d3,relaxed,-1.839,-0.67,+1.171,Screened Perlmutter result: NO_Ag100,
Ag100,NO,pbe_d3,SPE,-1.673,-0.67,+1.003,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_NO/singlepoint/PBE_D3
Ag100,NO,r2scan,relaxed,-2.54,-0.67,+1.87,Previously published energy retained; current audit: Not converged. NO_Ag100: See component convergence statuses; complex: converged; slab: converged; molecule: ionic_unconverged,
Ag100,NO,r2scan,SPE,queued,-0.67,—,,
Ag100,NO,beef_vdw,relaxed,-32.437,-0.67,+31.769,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. NO_Ag100,
Ag100,NO,beef_vdw,SPE,queued,-0.67,—,,
Ag100,O2,pbe,relaxed,-1.68,-0.72,+0.96,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,O2,pbe,SPE,—,-0.72,—,,
Ag100,O2,pbe_d3,relaxed,—,-0.72,—,No previously published energy; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,O2,pbe_d3,SPE,—,-0.72,—,,
Ag100,O2,r2scan,relaxed,—,-0.72,—,No previously published energy; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,O2,r2scan,SPE,—,-0.72,—,,
Ag100,O2,beef_vdw,relaxed,—,-0.72,—,No previously published energy; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,O2,beef_vdw,SPE,—,-0.72,—,,
Ag100,SO2,pbe,relaxed,-1.324,-0.54,+0.780,Screened Perlmutter result: SO2_Ag100,
Ag100,SO2,pbe,SPE,-1.281,-0.54,+0.741,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_SO2/singlepoint/PBE
Ag100,SO2,pbe_d3,relaxed,-1.834,-0.54,+1.290,Screened Perlmutter result: SO2_Ag100,
Ag100,SO2,pbe_d3,SPE,-1.656,-0.54,+1.116,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_SO2/singlepoint/PBE_D3
Ag100,SO2,r2scan,relaxed,-2.201,-0.54,+1.657,Screened Perlmutter result: SO2_Ag100,
Ag100,SO2,r2scan,SPE,-2.007,-0.54,+1.467,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_SO2/singlepoint/r2scan
Ag100,SO2,beef_vdw,relaxed,-25.672,-0.54,+25.127,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. SO2_Ag100,
Ag100,SO2,beef_vdw,SPE,queued,-0.54,—,,
Ag100,acetaldehyde,pbe,relaxed,-0.719,-0.50,+0.220,Screened Perlmutter result: CH3CHO_Ag100,
Ag100,acetaldehyde,pbe,SPE,-0.698,-0.50,+0.198,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetaldehyde/singlepoint/PBE
Ag100,acetaldehyde,pbe_d3,relaxed,-1.031,-0.50,+0.532,Screened Perlmutter result: CH3CHO_Ag100,
Ag100,acetaldehyde,pbe_d3,SPE,-0.894,-0.50,+0.394,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetaldehyde/singlepoint/PBE_D3
Ag100,acetaldehyde,r2scan,relaxed,-1.32,-0.50,+0.82,Previously published energy retained; current audit: Not converged. CH3CHO_Ag100: See component convergence statuses; complex: unfinished; slab: converged; molecule: converged,
Ag100,acetaldehyde,r2scan,SPE,-1.204,-0.50,+0.704,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetaldehyde/singlepoint/r2scan
Ag100,acetaldehyde,beef_vdw,relaxed,-25.176,-0.50,+24.677,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. CH3CHO_Ag100,
Ag100,acetaldehyde,beef_vdw,SPE,-25.093,-0.50,+24.593,Perlmutter converged NSW=0 result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Ag100/singlepoint/beef_vdw
Ag100,acetic_acid,pbe,relaxed,—,-0.58,—,No previously published energy; current audit: Not converged. CH3COOH_Ag100: molecule: ZBRENT: fatal error in bracketing; complex: converged; slab: converged; molecule: unfinished,
Ag100,acetic_acid,pbe,SPE,refs missing,-0.58,—,,
Ag100,acetic_acid,pbe_d3,relaxed,—,-0.58,—,No previously published energy; current audit: Not converged. CH3COOH_Ag100: molecule: ZBRENT: fatal error in bracketing; complex: converged; slab: converged; molecule: unfinished,
Ag100,acetic_acid,pbe_d3,SPE,refs missing,-0.58,—,,
Ag100,acetic_acid,r2scan,relaxed,-1.464,-0.58,+0.886,Screened Perlmutter result: CH3COOH_Ag100,
Ag100,acetic_acid,r2scan,SPE,-1.358,-0.58,+0.778,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_acetic_acid/singlepoint/r2scan
Ag100,acetic_acid,beef_vdw,relaxed,-25.282,-0.58,+24.704,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. CH3COOH_Ag100,
Ag100,acetic_acid,beef_vdw,SPE,-25.219,-0.58,+24.639,Perlmutter converged NSW=0 result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3COOH_Ag100/singlepoint/beef_vdw
Ag100,ethane,pbe,relaxed,-1.18,-0.29,+0.89,"Previously published energy retained; current audit: Slab size mismatch. C2H6_Ag100: slab size mismatch: complex has 64 Ag, reference has 36; complex: converged; slab: converged; molecule: converged",
Ag100,ethane,pbe,SPE,-0.020,-0.29,-0.274,Previously published single-point result,
Ag100,ethane,pbe_d3,relaxed,-1.48,-0.29,+1.18,"Previously published energy retained; current audit: Slab size mismatch. C2H6_Ag100: slab size mismatch: complex has 64 Ag, reference has 36; complex: converged; slab: converged; molecule: converged",
Ag100,ethane,pbe_d3,SPE,-0.022,-0.29,-0.273,Previously published single-point result,
Ag100,ethane,r2scan,relaxed,-2.15,-0.29,+1.86,"Previously published energy retained; current audit: Slab size mismatch. C2H6_Ag100: slab size mismatch: complex has 64 Ag, reference has 36; complex: unfinished; slab: converged; molecule: converged",
Ag100,ethane,r2scan,SPE,+0.136,-0.29,-0.431,Previously published single-point result,
Ag100,ethane,beef_vdw,relaxed,-44.370,-0.29,+44.080,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag100,ethane,beef_vdw,SPE,-0.186,-0.29,-0.108,Previously published single-point result,
Ag100,ethanol,pbe,relaxed,-1.31,-0.44,+0.88,"Previously published energy retained; current audit: Slab size mismatch. CH3CH2OH_Ag100: slab size mismatch: complex has 64 Ag, reference has 36; complex: converged; slab: converged; molecule: converged",
Ag100,ethanol,pbe,SPE,-0.149,-0.44,-0.287,Previously published single-point result,
Ag100,ethanol,pbe_d3,relaxed,-1.66,-0.44,+1.23,"Previously published energy retained; current audit: Slab size mismatch. CH3CH2OH_Ag100: slab size mismatch: complex has 64 Ag, reference has 36; complex: converged; slab: converged; molecule: converged",
Ag100,ethanol,pbe_d3,SPE,-0.237,-0.44,-0.199,Previously published single-point result,
Ag100,ethanol,r2scan,relaxed,-2.25,-0.44,+1.81,"Previously published energy retained; current audit: Slab size mismatch. CH3CH2OH_Ag100: slab size mismatch: complex has 64 Ag, reference has 36; complex: unfinished; slab: converged; molecule: converged",
Ag100,ethanol,r2scan,SPE,-0.085,-0.44,-0.351,Previously published single-point result,
Ag100,ethanol,beef_vdw,relaxed,-44.544,-0.44,+44.104,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag100,ethanol,beef_vdw,SPE,-0.354,-0.44,-0.082,Previously published single-point result,
Ag100,ethene,pbe,relaxed,-0.682,-0.21,+0.475,Screened Perlmutter result: C2H4_Ag100,
Ag100,ethene,pbe,SPE,-0.021,-0.21,-0.186,Previously published single-point result,
Ag100,ethene,pbe_d3,relaxed,-1.059,-0.21,+0.852,Screened Perlmutter result: C2H4_Ag100,
Ag100,ethene,pbe_d3,SPE,-0.103,-0.21,-0.103,Previously published single-point result,
Ag100,ethene,r2scan,relaxed,-1.27,-0.21,+1.07,Previously published energy retained; current audit: Not converged. C2H4_Ag100: See component convergence statuses; complex: unfinished; slab: converged; molecule: converged,
Ag100,ethene,r2scan,SPE,+0.060,-0.21,-0.267,Previously published single-point result,
Ag100,ethene,beef_vdw,relaxed,-25.121,-0.21,+24.914,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. C2H4_Ag100,
Ag100,ethene,beef_vdw,SPE,-0.182,-0.21,-0.025,Previously published single-point result,
Ag100,formaldehyde,pbe,relaxed,-0.719,-0.32,+0.398,Screened Perlmutter result: H2CO_Ag100,
Ag100,formaldehyde,pbe,SPE,-0.704,-0.32,+0.384,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formaldehyde/singlepoint/PBE
Ag100,formaldehyde,pbe_d3,relaxed,-0.932,-0.32,+0.611,Screened Perlmutter result: H2CO_Ag100,
Ag100,formaldehyde,pbe_d3,SPE,-0.820,-0.32,+0.500,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formaldehyde/singlepoint/PBE_D3
Ag100,formaldehyde,r2scan,relaxed,—,-0.32,—,No previously published energy; current audit: Not converged. H2CO_Ag100: See component convergence statuses; complex: unfinished; slab: converged; molecule: converged,
Ag100,formaldehyde,r2scan,SPE,-1.182,-0.32,+0.862,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formaldehyde/singlepoint/r2scan
Ag100,formaldehyde,beef_vdw,relaxed,-25.106,-0.32,+24.786,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. H2CO_Ag100,
Ag100,formaldehyde,beef_vdw,SPE,queued,-0.32,—,,
Ag100,formate,pbe,relaxed,-3.62,-2.21,+1.41,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,formate,pbe,SPE,-3.608,-2.21,+1.398,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formate/singlepoint/PBE
Ag100,formate,pbe_d3,relaxed,-3.97,-2.21,+1.76,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,formate,pbe_d3,SPE,-3.848,-2.21,+1.638,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formate/singlepoint/PBE_D3
Ag100,formate,r2scan,relaxed,-4.78,-2.21,+2.57,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,formate,r2scan,SPE,-4.657,-2.21,+2.447,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formate/singlepoint/r2scan
Ag100,formate,beef_vdw,relaxed,—,-2.21,—,No previously published energy; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,formate,beef_vdw,SPE,—,-2.21,—,,
Ag100,formic_acid,pbe,relaxed,-0.833,-0.40,+0.431,Screened Perlmutter result: HCOOH_Ag100,
Ag100,formic_acid,pbe,SPE,-0.813,-0.40,+0.413,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formic_acid/singlepoint/PBE
Ag100,formic_acid,pbe_d3,relaxed,-1.145,-0.40,+0.743,Screened Perlmutter result: HCOOH_Ag100,
Ag100,formic_acid,pbe_d3,SPE,-1.026,-0.40,+0.626,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formic_acid/singlepoint/PBE_D3
Ag100,formic_acid,r2scan,relaxed,-1.43,-0.40,+1.03,Previously published energy retained; current audit: Not converged. HCOOH_Ag100: See component convergence statuses; complex: unfinished; slab: converged; molecule: converged,
Ag100,formic_acid,r2scan,SPE,-1.321,-0.40,+0.921,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_formic_acid/singlepoint/r2scan
Ag100,formic_acid,beef_vdw,relaxed,-25.221,-0.40,+24.819,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. HCOOH_Ag100,
Ag100,formic_acid,beef_vdw,SPE,queued,-0.40,—,,
Ag100,glycerol,pbe,relaxed,-1.35,-0.68,+0.67,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,glycerol,pbe,SPE,-0.117,-0.68,-0.565,Previously published single-point result,
Ag100,glycerol,pbe_d3,relaxed,-1.94,-0.68,+1.26,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,glycerol,pbe_d3,SPE,-0.430,-0.68,-0.253,Previously published single-point result,
Ag100,glycerol,r2scan,relaxed,-2.55,-0.68,+1.87,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,glycerol,r2scan,SPE,-0.188,-0.68,-0.495,Previously published single-point result,
Ag100,glycerol,beef_vdw,relaxed,—,-0.68,—,No previously published energy; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,glycerol,beef_vdw,SPE,-0.580,-0.68,-0.103,Previously published single-point result,
Ag100,isopropanol,pbe,relaxed,-1.32,-0.49,+0.83,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,isopropanol,pbe,SPE,-0.779,-0.49,+0.289,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C3/Ag100_isopropanol/singlepoint/PBE
Ag100,isopropanol,pbe_d3,relaxed,-1.76,-0.49,+1.27,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
